Measure Code,Parent Description,Description,2011,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024
ERP_P_20,Estimated resident population - year ended 30 June,Estimated resident population (no.),,,,,4746,5314,6003,6747,7538,8097,
ERP_21,Estimated resident population - year ended 30 June,Population density (persons/km2),,,,,174.5,195.3,220.7,248,277.1,297.6,
ERP_M_20,Estimated resident population - year ended 30 June,Estimated resident population - males (no.),,,,,2445,2709,3024,3377,3779,4059,
ERP_F_20,Estimated resident population - year ended 30 June,Estimated resident population - females (no.),,,,,2301,2605,2979,3370,3759,4038,
ERP_19,Estimated resident population - year ended 30 June,Median age - males (years),,,,,36.4,35.5,34.9,34.5,34.2,34.2,
ERP_22,Estimated resident population - year ended 30 June,Median age - females (years),,,,,37.6,36.4,35.6,34.7,34.7,34.7,
ERP_23,Estimated resident population - year ended 30 June,Median age - persons (years),,,,,37.1,35.9,35.2,34.6,34.5,34.4,
ERP_18,Estimated resident population - year ended 30 June,Working age population (aged 15-64 years) (no.),,,,,3184,3549,3979,4442,5124,5528,
ERP_17,Estimated resident population - year ended 30 June,Working age population (aged 15-64 years) (%),,,,,67.1,66.8,66.3,65.8,68,68.3,
ERP_M_2,Estimated resident population - Males - year ended 30 June,Males - 0-4 years (no.),,,,,172,202,226,260,278,295,
ERP_M_3,Estimated resident population - Males - year ended 30 June,Males - 5-9 years (no.),,,,,168,184,211,243,270,285,
ERP_M_4,Estimated resident population - Males - year ended 30 June,Males - 10-14 years (no.),,,,,176,198,231,262,275,267,
ERP_M_5,Estimated resident population - Males - year ended 30 June,Males - 15-19 years (no.),,,,,186,201,219,238,260,307,
ERP_M_6,Estimated resident population - Males - year ended 30 June,Males - 20-24 years (no.),,,,,175,189,205,221,267,304,
ERP_M_7,Estimated resident population - Males - year ended 30 June,Males - 25-29 years (no.),,,,,159,186,213,247,274,296,
ERP_M_8,Estimated resident population - Males - year ended 30 June,Males - 30-34 years (no.),,,,,146,178,213,243,305,340,
ERP_M_9,Estimated resident population - Males - year ended 30 June,Males - 35-39 years (no.),,,,,151,177,202,233,289,299,
ERP_M_10,Estimated resident population - Males - year ended 30 June,Males - 40-44 years (no.),,,,,152,168,189,217,249,273,
ERP_M_11,Estimated resident population - Males - year ended 30 June,Males - 45-49 years (no.),,,,,176,184,196,220,231,245,
ERP_M_12,Estimated resident population - Males - year ended 30 June,Males - 50-54 years (no.),,,,,192,204,217,234,269,270,
ERP_M_13,Estimated resident population - Males - year ended 30 June,Males - 55-59 years (no.),,,,,171,183,201,219,224,242,
ERP_M_14,Estimated resident population - Males - year ended 30 June,Males - 60-64 years (no.),,,,,117,126,139,153,199,215,
ERP_M_15,Estimated resident population - Males - year ended 30 June,Males - 65-69 years (no.),,,,,104,107,111,108,103,107,
ERP_M_16,Estimated resident population - Males - year ended 30 June,Males - 70-74 years (no.),,,,,106,106,113,115,114,116,
ERP_M_17,Estimated resident population - Males - year ended 30 June,Males - 75-79 years (no.),,,,,51,65,77,85,90,111,
ERP_M_18,Estimated resident population - Males - year ended 30 June,Males - 80-84 years (no.),,,,,28,30,31,46,49,59,
ERP_M_19,Estimated resident population - Males - year ended 30 June,Males - 85 and over (no.),,,,,15,21,30,33,33,28,
ERP_M_21,Estimated resident population - Males - year ended 30 June,Males - 0-4 years (%),,,,,7,7.5,7.5,7.7,7.4,7.3,
ERP_M_22,Estimated resident population - Males - year ended 30 June,Males - 5-9 years (%),,,,,6.9,6.8,7,7.2,7.1,7,
ERP_M_23,Estimated resident population - Males - year ended 30 June,Males - 10-14 years (%),,,,,7.2,7.3,7.6,7.8,7.3,6.6,
ERP_M_24,Estimated resident population - Males - year ended 30 June,Males - 15-19 years (%),,,,,7.6,7.4,7.2,7,6.9,7.6,
ERP_M_25,Estimated resident population - Males - year ended 30 June,Males - 20-24 years (%),,,,,7.2,7,6.8,6.5,7.1,7.5,
ERP_M_26,Estimated resident population - Males - year ended 30 June,Males - 25-29 years (%),,,,,6.5,6.9,7,7.3,7.3,7.3,
ERP_M_27,Estimated resident population - Males - year ended 30 June,Males - 30-34 years (%),,,,,6,6.6,7,7.2,8.1,8.4,
ERP_M_28,Estimated resident population - Males - year ended 30 June,Males - 35-39 years (%),,,,,6.2,6.5,6.7,6.9,7.6,7.4,
ERP_M_29,Estimated resident population - Males - year ended 30 June,Males - 40-44 years (%),,,,,6.2,6.2,6.3,6.4,6.6,6.7,
ERP_M_30,Estimated resident population - Males - year ended 30 June,Males - 45-49 years (%),,,,,7.2,6.8,6.5,6.5,6.1,6,
ERP_M_31,Estimated resident population - Males - year ended 30 June,Males - 50-54 years (%),,,,,7.9,7.5,7.2,6.9,7.1,6.7,
ERP_M_32,Estimated resident population - Males - year ended 30 June,Males - 55-59 years (%),,,,,7,6.8,6.6,6.5,5.9,6,
ERP_M_33,Estimated resident population - Males - year ended 30 June,Males - 60-64 years (%),,,,,4.8,4.7,4.6,4.5,5.3,5.3,
ERP_M_34,Estimated resident population - Males - year ended 30 June,Males - 65-69 years (%),,,,,4.3,3.9,3.7,3.2,2.7,2.6,
ERP_M_35,Estimated resident population - Males - year ended 30 June,Males - 70-74 years (%),,,,,4.3,3.9,3.7,3.4,3,2.9,
ERP_M_36,Estimated resident population - Males - year ended 30 June,Males - 75-79 years (%),,,,,2.1,2.4,2.5,2.5,2.4,2.7,
ERP_M_37,Estimated resident population - Males - year ended 30 June,Males - 80-84 years (%),,,,,1.1,1.1,1,1.4,1.3,1.5,
ERP_M_38,Estimated resident population - Males - year ended 30 June,Males - 85 and over (%),,,,,0.6,0.8,1,1,0.9,0.7,
ERP_F_2,Estimated resident population - Females - year ended 30 June,Females - 0-4 years (no.),,,,,133,162,197,242,254,248,
ERP_F_3,Estimated resident population - Females - year ended 30 June,Females - 5-9 years (no.),,,,,154,179,207,241,259,295,
ERP_F_4,Estimated resident population - Females - year ended 30 June,Females - 10-14 years (no.),,,,,175,195,221,246,249,281,
ERP_F_5,Estimated resident population - Females - year ended 30 June,Females - 15-19 years (no.),,,,,157,179,196,222,270,300,
ERP_F_6,Estimated resident population - Females - year ended 30 June,Females - 20-24 years (no.),,,,,149,176,206,233,275,274,
ERP_F_7,Estimated resident population - Females - year ended 30 June,Females - 25-29 years (no.),,,,,154,187,224,267,313,323,
ERP_F_8,Estimated resident population - Females - year ended 30 June,Females - 30-34 years (no.),,,,,145,174,212,251,278,319,
ERP_F_9,Estimated resident population - Females - year ended 30 June,Females - 35-39 years (no.),,,,,152,175,201,220,279,304,
ERP_F_10,Estimated resident population - Females - year ended 30 June,Females - 40-44 years (no.),,,,,169,178,193,207,237,260,
ERP_F_11,Estimated resident population - Females - year ended 30 June,Females - 45-49 years (no.),,,,,193,204,222,231,226,241,
ERP_F_12,Estimated resident population - Females - year ended 30 June,Females - 50-54 years (no.),,,,,181,197,219,246,291,296,
ERP_F_13,Estimated resident population - Females - year ended 30 June,Females - 55-59 years (no.),,,,,142,156,176,198,227,226,
ERP_F_14,Estimated resident population - Females - year ended 30 June,Females - 60-64 years (no.),,,,,117,127,136,142,161,194,
