Measure Code,Parent Description,Description,2011,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024
ERP_P_20,Estimated resident population - year ended 30 June,Estimated resident population (no.),,,,,13687,14036,14221,14296,14446,14850,
ERP_21,Estimated resident population - year ended 30 June,Population density (persons/km2),,,,,2179,2234.6,2264,2276,2299.8,2364.2,
ERP_M_20,Estimated resident population - year ended 30 June,Estimated resident population - males (no.),,,,,6422,6583,6669,6700,6724,6885,
ERP_F_20,Estimated resident population - year ended 30 June,Estimated resident population - females (no.),,,,,7265,7453,7552,7596,7722,7965,
ERP_19,Estimated resident population - year ended 30 June,Median age - males (years),,,,,34.4,34.7,35.3,35.9,35.8,35.8,
ERP_22,Estimated resident population - year ended 30 June,Median age - females (years),,,,,37.9,38.4,38.9,39.4,39.6,39.6,
ERP_23,Estimated resident population - year ended 30 June,Median age - persons (years),,,,,36.1,36.5,37,37.6,37.8,37.8,
ERP_18,Estimated resident population - year ended 30 June,Working age population (aged 15-64 years) (no.),,,,,8794,8926,8960,8911,8981,9330,
ERP_17,Estimated resident population - year ended 30 June,Working age population (aged 15-64 years) (%),,,,,64.3,63.6,63,62.3,62.2,62.8,
ERP_M_2,Estimated resident population - Males - year ended 30 June,Males - 0-4 years (no.),,,,,574,567,555,523,515,496,
ERP_M_3,Estimated resident population - Males - year ended 30 June,Males - 5-9 years (no.),,,,,435,474,500,513,477,477,
ERP_M_4,Estimated resident population - Males - year ended 30 June,Males - 10-14 years (no.),,,,,351,362,361,379,406,417,
ERP_M_5,Estimated resident population - Males - year ended 30 June,Males - 15-19 years (no.),,,,,313,319,332,313,343,370,
ERP_M_6,Estimated resident population - Males - year ended 30 June,Males - 20-24 years (no.),,,,,421,424,407,403,417,422,
ERP_M_7,Estimated resident population - Males - year ended 30 June,Males - 25-29 years (no.),,,,,541,546,518,509,491,499,
ERP_M_8,Estimated resident population - Males - year ended 30 June,Males - 30-34 years (no.),,,,,660,641,623,590,612,634,
ERP_M_9,Estimated resident population - Males - year ended 30 June,Males - 35-39 years (no.),,,,,580,624,654,674,657,703,
ERP_M_10,Estimated resident population - Males - year ended 30 June,Males - 40-44 years (no.),,,,,408,429,457,484,484,498,
ERP_M_11,Estimated resident population - Males - year ended 30 June,Males - 45-49 years (no.),,,,,370,362,373,366,354,377,
ERP_M_12,Estimated resident population - Males - year ended 30 June,Males - 50-54 years (no.),,,,,300,315,323,344,365,381,
ERP_M_13,Estimated resident population - Males - year ended 30 June,Males - 55-59 years (no.),,,,,321,311,301,287,277,282,
ERP_M_14,Estimated resident population - Males - year ended 30 June,Males - 60-64 years (no.),,,,,245,262,271,277,268,278,
ERP_M_15,Estimated resident population - Males - year ended 30 June,Males - 65-69 years (no.),,,,,253,236,223,227,218,223,
ERP_M_16,Estimated resident population - Males - year ended 30 June,Males - 70-74 years (no.),,,,,209,250,279,281,284,261,
ERP_M_17,Estimated resident population - Males - year ended 30 June,Males - 75-79 years (no.),,,,,181,190,198,212,235,245,
ERP_M_18,Estimated resident population - Males - year ended 30 June,Males - 80-84 years (no.),,,,,128,131,150,163,172,185,
ERP_M_19,Estimated resident population - Males - year ended 30 June,Males - 85 and over (no.),,,,,132,140,144,155,149,137,
ERP_M_21,Estimated resident population - Males - year ended 30 June,Males - 0-4 years (%),,,,,8.9,8.6,8.3,7.8,7.7,7.2,
ERP_M_22,Estimated resident population - Males - year ended 30 June,Males - 5-9 years (%),,,,,6.8,7.2,7.5,7.7,7.1,6.9,
ERP_M_23,Estimated resident population - Males - year ended 30 June,Males - 10-14 years (%),,,,,5.5,5.5,5.4,5.7,6,6.1,
ERP_M_24,Estimated resident population - Males - year ended 30 June,Males - 15-19 years (%),,,,,4.9,4.8,5,4.7,5.1,5.4,
ERP_M_25,Estimated resident population - Males - year ended 30 June,Males - 20-24 years (%),,,,,6.6,6.4,6.1,6,6.2,6.1,
ERP_M_26,Estimated resident population - Males - year ended 30 June,Males - 25-29 years (%),,,,,8.4,8.3,7.8,7.6,7.3,7.2,
ERP_M_27,Estimated resident population - Males - year ended 30 June,Males - 30-34 years (%),,,,,10.3,9.7,9.3,8.8,9.1,9.2,
ERP_M_28,Estimated resident population - Males - year ended 30 June,Males - 35-39 years (%),,,,,9,9.5,9.8,10.1,9.8,10.2,
ERP_M_29,Estimated resident population - Males - year ended 30 June,Males - 40-44 years (%),,,,,6.4,6.5,6.9,7.2,7.2,7.2,
ERP_M_30,Estimated resident population - Males - year ended 30 June,Males - 45-49 years (%),,,,,5.8,5.5,5.6,5.5,5.3,5.5,
ERP_M_31,Estimated resident population - Males - year ended 30 June,Males - 50-54 years (%),,,,,4.7,4.8,4.8,5.1,5.4,5.5,
ERP_M_32,Estimated resident population - Males - year ended 30 June,Males - 55-59 years (%),,,,,5,4.7,4.5,4.3,4.1,4.1,
ERP_M_33,Estimated resident population - Males - year ended 30 June,Males - 60-64 years (%),,,,,3.8,4,4.1,4.1,4,4,
ERP_M_34,Estimated resident population - Males - year ended 30 June,Males - 65-69 years (%),,,,,3.9,3.6,3.3,3.4,3.2,3.2,
ERP_M_35,Estimated resident population - Males - year ended 30 June,Males - 70-74 years (%),,,,,3.3,3.8,4.2,4.2,4.2,3.8,
ERP_M_36,Estimated resident population - Males - year ended 30 June,Males - 75-79 years (%),,,,,2.8,2.9,3,3.2,3.5,3.6,
ERP_M_37,Estimated resident population - Males - year ended 30 June,Males - 80-84 years (%),,,,,2,2,2.2,2.4,2.6,2.7,
ERP_M_38,Estimated resident population - Males - year ended 30 June,Males - 85 and over (%),,,,,2.1,2.1,2.2,2.3,2.2,2,
ERP_F_2,Estimated resident population - Females - year ended 30 June,Females - 0-4 years (no.),,,,,483,489,486,497,489,481,
ERP_F_3,Estimated resident population - Females - year ended 30 June,Females - 5-9 years (no.),,,,,409,414,421,420,443,470,
ERP_F_4,Estimated resident population - Females - year ended 30 June,Females - 10-14 years (no.),,,,,310,319,338,355,391,407,
ERP_F_5,Estimated resident population - Females - year ended 30 June,Females - 15-19 years (no.),,,,,281,300,302,300,300,309,
ERP_F_6,Estimated resident population - Females - year ended 30 June,Females - 20-24 years (no.),,,,,420,403,390,365,373,412,
ERP_F_7,Estimated resident population - Females - year ended 30 June,Females - 25-29 years (no.),,,,,600,588,575,543,522,520,
ERP_F_8,Estimated resident population - Females - year ended 30 June,Females - 30-34 years (no.),,,,,739,740,705,676,644,676,
ERP_F_9,Estimated resident population - Females - year ended 30 June,Females - 35-39 years (no.),,,,,615,661,693,720,758,762,
ERP_F_10,Estimated resident population - Females - year ended 30 June,Females - 40-44 years (no.),,,,,469,480,484,509,541,591,
ERP_F_11,Estimated resident population - Females - year ended 30 June,Females - 45-49 years (no.),,,,,394,398,416,411,431,465,
ERP_F_12,Estimated resident population - Females - year ended 30 June,Females - 50-54 years (no.),,,,,379,370,357,361,377,377,
ERP_F_13,Estimated resident population - Females - year ended 30 June,Females - 55-59 years (no.),,,,,406,426,430,402,383,376,
ERP_F_14,Estimated resident population - Females - year ended 30 June,Females - 60-64 years (no.),,,,,332,327,349,377,384,398,
ERP_F_15,Estimated resident population - Females - year ended 30 June,Females - 65-69 years (no.),,,,,335,362,355,346,353,361,
ERP_F_16,Estimated resident population - Females - year ended 30 June,Females - 70-74 years (no.),,,,,334,358,368,359,375,368,
ERP_F_17,Estimated resident population - Females - year ended 30 June,Females - 75-79 years (no.),,,,,273,291,327,357,374,395,
ERP_F_18,Estimated resident population - Females - year ended 30 June,Females - 80-84 years (no.),,,,,212,237,248,265,262,285,
ERP_F_19,Estimated resident population - Females - year ended 30 June,Females - 85 and over (no.),,,,,274,290,308,333,322,312,
ERP_F_21,Estimated resident population - Females - year ended 30 June,Females - 0-4 years (%),,,,,6.6,6.6,6.4,6.5,6.3,6,
ERP_F_22,Estimated resident population - Females - year ended 30 June,Females - 5-9 years (%),,,,,5.6,5.6,5.6,5.5,5.7,5.9,
ERP_F_23,Estimated resident population - Females - year ended 30 June,Females - 10-14 years (%),,,,,4.3,4.3,4.5,4.7,5.1,5.1,
ERP_F_24,Estimated resident population - Females - year ended 30 June,Females - 15-19 years (%),,,,,3.9,4,4,3.9,3.9,3.9,
ERP_F_25,Estimated resident population - Females - year ended 30 June,Females - 20-24 years (%),,,,,5.8,5.4,5.2,4.8,4.8,5.2,
ERP_F_26,Estimated resident population - Females - year ended 30 June,Females - 25-29 years (%),,,,,8.3,7.9,7.6,7.1,6.8,6.5,
ERP_F_27,Estimated resident population - Females - year ended 30 June,Females - 30-34 years (%),,,,,10.2,9.9,9.3,8.9,8.3,8.5,
ERP_F_28,Estimated resident population - Females - year ended 30 June,Females - 35-39 years (%),,,,,8.5,8.9,9.2,9.5,9.8,9.6,
ERP_F_29,Estimated resident population - Females - year ended 30 June,Females - 40-44 years (%),,,,,6.5,6.4,6.4,6.7,7,7.4,
ERP_F_30,Estimated resident population - Females - year ended 30 June,Females - 45-49 years (%),,,,,5.4,5.3,5.5,5.4,5.6,5.8,
ERP_F_31,Estimated resident population - Females - year ended 30 June,Females - 50-54 years (%),,,,,5.2,5,4.7,4.8,4.9,4.7,
ERP_F_32,Estimated resident population - Females - year ended 30 June,Females - 55-59 years (%),,,,,5.6,5.7,5.7,5.3,5,4.7,
ERP_F_33,Estimated resident population - Females - year ended 30 June,Females - 60-64 years (%),,,,,4.6,4.4,4.6,5,5,5,
ERP_F_34,Estimated resident population - Females - year ended 30 June,Females - 65-69 years (%),,,,,4.6,4.9,4.7,4.6,4.6,4.5,
ERP_F_35,Estimated resident population - Females - year ended 30 June,Females - 70-74 years (%),,,,,4.6,4.8,4.9,4.7,4.9,4.6,
ERP_F_36,Estimated resident population - Females - year ended 30 June,Females - 75-79 years (%),,,,,3.8,3.9,4.3,4.7,4.8,5,
ERP_F_37,Estimated resident population - Females - year ended 30 June,Females - 80-84 years (%),,,,,2.9,3.2,3.3,3.5,3.4,3.6,
ERP_F_38,Estimated resident population - Females - year ended 30 June,Females - 85 and over (%),,,,,3.8,3.9,4.1,4.4,4.2,3.9,
ERP_P_2,Estimated resident population - Persons - year ended 30 June,Persons - 0-4 years (no.),,,,,1057,1056,1041,1020,1004,977,
ERP_P_3,Estimated resident population - Persons - year ended 30 June,Persons - 5-9 years (no.),,,,,844,888,921,933,920,947,
ERP_P_4,Estimated resident population - Persons - year ended 30 June,Persons - 10-14 years (no.),,,,,661,681,699,734,797,824,
ERP_P_5,Estimated resident population - Persons - year ended 30 June,Persons - 15-19 years (no.),,,,,594,619,634,613,643,679,
ERP_P_6,Estimated resident population - Persons - year ended 30 June,Persons - 20-24 years (no.),,,,,841,827,797,768,790,834,
ERP_P_7,Estimated resident population - Persons - year ended 30 June,Persons - 25-29 years (no.),,,,,1141,1134,1093,1052,1013,1019,
ERP_P_8,Estimated resident population - Persons - year ended 30 June,Persons - 30-34 years (no.),,,,,1399,1381,1328,1266,1256,1310,
ERP_P_9,Estimated resident population - Persons - year ended 30 June,Persons - 35-39 years (no.),,,,,1195,1285,1347,1394,1415,1465,
ERP_P_10,Estimated resident population - Persons - year ended 30 June,Persons - 40-44 years (no.),,,,,877,909,941,993,1025,1089,
ERP_P_11,Estimated resident population - Persons - year ended 30 June,Persons - 45-49 years (no.),,,,,764,760,789,777,785,842,
ERP_P_12,Estimated resident population - Persons - year ended 30 June,Persons - 50-54 years (no.),,,,,679,685,680,705,742,758,
ERP_P_13,Estimated resident population - Persons - year ended 30 June,Persons - 55-59 years (no.),,,,,727,737,731,689,660,658,
ERP_P_14,Estimated resident population - Persons - year ended 30 June,Persons - 60-64 years (no.),,,,,577,589,620,654,652,676,
ERP_P_15,Estimated resident population - Persons - year ended 30 June,Persons - 65-69 years (no.),,,,,588,598,578,573,571,584,
ERP_P_16,Estimated resident population - Persons - year ended 30 June,Persons - 70-74 years (no.),,,,,543,608,647,640,659,629,
ERP_P_17,Estimated resident population - Persons - year ended 30 June,Persons - 75-79 years (no.),,,,,454,481,525,569,609,640,
ERP_P_18,Estimated resident population - Persons - year ended 30 June,Persons - 80-84 years (no.),,,,,340,368,398,428,434,470,
ERP_P_19,Estimated resident population - Persons - year ended 30 June,Persons - 85 and over (no.),,,,,406,430,452,488,471,449,
ERP_P_21,Estimated resident population - Persons - year ended 30 June,Persons - 0-4 years (%),,,,,7.7,7.5,7.3,7.1,7,6.6,
